MURABAHA ISLAMIC REVOLVING IMPORT FINANCING ARRANGEMENT,,,,,,,,,,,,,,,
"Total Loan 
Approved", ETB 70000000 ,,,,,,,,,,,,,,
"Total LC To be Financed
(USD)",Rate(Aprox),ETB,"Documents
Settled","Remaining
Facility For",,,,,,,,,,,
" $436,754.00 ", 160.0000 ," 69,880,640.00 "," $147,354.00 "," $289,400.00 ",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"LC for the $436,754 is already opened. $147,354 is settled.",,,,,,,,,,,,,,,
The payment is quarterly.,,,,,,,,,,,,,,,
The annual profit charge rate is 7% and 2 years for each loan to be disbursed(lc settled).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Orders in
 Pipeline",,,,,,,,,,,,,,,
S.N,SUPPLIER,ORIGIN(COUNTRY),ITEMS,Order (USD),"LC
Status","Shipment
Status",Financing,"Expected
Settlement","LC Settled 
On","Effective
Rate",Principal,Term,"Profit Charge(7%) 
Per Annum","Maturity
 Date",
1,Reyoung,CHINA,Medicines," $147,354.00 ",LC Settled,Received,Financed,15-Apr-26,7-Apr-26, 160.0241 ," 23,580,195.28 ",2," 3,301,227.34 ",7-Apr-28,
2,R&K Lab,INDIA,Iv fluid," $59,760.00 ",Open,,,25-Sep-26,,,0,,0,,
3,Gst,INDIA,IV SET," $15,700.00 ",Open,,,25-Sep-26,,,0,,0,,
4,SCOTT EDIL,INDIA,Medicines," $73,100.00 ",Open,,,25-Sep-26,,,0,,0,,
5,SCOTT EDIL,INDIA,Medicines," $194,100.00 ",Open,,,30-Sep-26,,,0,,0,,
6,TSM,MALAYSIA,Examination GLOVE," $42,840.00 ",Open,,,10-Oct-26,,,0,,0,,
7,Tinachin HENGSHENG,CHINA,Surgical glove," $61,904.00 ",Open,,,10-Oct-26,,,0,,0,,
8,Ortho bomby ,INDIA,Orthopdic appliances," $11,324.00 ",LC Settled,Received,Self,1-Apr-26,1-Apr-26,,0,,0,,
Total,,,," $606,082.00 ",,,,,,," 23,580,195.28 ",," 3,301,227.34 ",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Estimated cost assumptions and calcualtions,,,,,,,,,,,,,,,
1. Freight Cost,,,,,,,,,,,,,,,
Container,Country,FREIGT(USD,"INLAND
 HAULADGE(ETB)","DESTINATION
CLEARANCE(USD)",,,,,,,,,,,
"20"" conatiner from ",India," $3,500.00 "," 174,000.00 ", $900.00 ,,,,,,,,,,,
20FCL conatiner from ,china," $4,500.00 "," 174,000.00 ", $900.00 ,,,,,,,,,,,
40FCL  continer from ,India," $5,500.00 "," 174,000.00 ", $900.00 ,,,,,,,,,,,
40FCL  continer from ,China," $7,000.00 "," 174,000.00 "," $1,050.00 ",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2. Estimated Landed cost calculations excluding claimable and refundable payments  like container deposits, withholding taxes on imports, etc",,,,,,,,,,,,,,,
SUPPLIER,ORIGIN(COUNTRY),Items,PROFORMA(USD),"Exchange 
Rate",FoB,"Bank 
Chrges(6.25%)","Freight 
and related","Customs
 and duties(18%)",Others(2%),"Total 
landed cost","Number of 
Containers","Planned 
Sales","Profit 
Margin(%)","Financing
 Charge",
Reyoung,CHINA,Medicines," $147,354.00 ",154.9541," 22,833,106.45 "," 1,415,652.60 "," 2,516,064.65 "," 4,562,850.80 "," 626,553.49 "," 30,538,575.39 ","4X20""",,60%," 3,301,227.34 ",These are to be sold together as a set.
R&K Lab,INDIA,Iv fluid," $59,760.00 ",160," 9,561,600.00 "," 592,819.20 "," 6,144,000.00 "," 2,827,008.00 "," 382,508.54 "," 18,915,116.54 ","6X40"""," 43,200,000.00 ",90%, -   ,
Gst,INDIA,IV SET," $15,700.00 ",160," 2,512,000.00 "," 155,744.00 "," 1,200,000.00 "," 668,160.00 "," 90,718.08 "," 4,470,878.08 ","1X20"""," 7,153,404.93 ",90%, -   ,
SCOTT EDIL,INDIA,Medicines," $73,100.00 ",160," 11,696,000.00 "," 725,152.00 "," 2,000,000.00 "," 2,465,280.00 "," 337,728.64 "," 16,499,008.64 ","1X40"""," 26,398,413.82 ",60%, -   ,
